name,par_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top1pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue College,0.673315271,0.153965198,0.145099619,0.169230163,0.233746132,0.297958889,0.148874663,0.008767612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellevue University,0.573585144,0.085047206,0.126385192,0.202024663,0.326099131,0.260443808,0.122864639,0.002814228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham Technical College,0.525384046,0.218447653,0.193218065,0.182306107,0.208499352,0.197528823,0.093327969,0.00407341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont Abbey College,0.675667532,0.08755879,0.124444704,0.219350529,0.275814554,0.292831422,0.135661806,0.000500764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont College,0.444483565,0.149145883,0.231900317,0.230721854,0.208574256,0.17965769,0.08989204,0.002767037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont University,0.744219286,0.112790716,0.171151716,0.180055403,0.236172125,0.299830039,0.166291634,0.019064123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beloit College,0.718619927,0.109278576,0.126329479,0.184292262,0.272702861,0.307396822,0.152587999,0.013553839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedictine College,0.659156221,0.108556247,0.108322211,0.193989249,0.297898058,0.291234236,0.16461797,0.005647368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedictine University,0.708380028,0.11236521,0.07833238,0.105691046,0.242375465,0.461235899,0.243311892,0.040784709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett College,0.47267298,0.085738615,0.226093503,0.22332595,0.315852222,0.14898971,0.073016346,0.000234863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennington College,0.666845804,0.194504005,0.268637109,0.212500918,0.183479364,0.140878605,0.04675423,0.000524631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley University,0.738542815,0.077160233,0.043110727,0.05454177,0.113345669,0.7118416,0.521760861,0.085626547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergen Community College,0.564651543,0.158281293,0.169892312,0.188533134,0.234589912,0.248703349,0.114315509,0.004108637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berkeley College of New York, NY",0.414411513,0.148398603,0.134726052,0.20216352,0.271160778,0.243551046,0.093921699,0.005673513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berkeley College of Woodland Park, NJ",0.473602443,0.119791204,0.163699764,0.195478029,0.284263268,0.236767735,0.105554931,0.003834717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berklee College Of Music,0.746167784,0.15940674,0.231409524,0.194730691,0.201511306,0.212941739,0.107438355,0.007082191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
