name,Mean Parental Income,Median Parental Income,Mean Child Earnings,Median Child Earnings,Mean Kid Earnings (non-zero)
College Of Coastal Georgia,70369.78359,64400,30738.76098,27200,30500
College Of Du Page,104929.1552,85900,34834.71969,30400,36100
College Of Health Care Professions ,44729.16856,35200,27697.87982,26100,27500
College Of Idaho ,123050.6384,92200,48648.71852,45700,50400
College Of Lake County,109431.4581,88400,37235.50333,33800,38200
College Of Marin,118352.0521,82000,36083.41067,29700,38200
College Of Mount Saint Joseph,133300.6563,88500,43405.53467,41700,44200
College Of Mount Saint Vincent And Manhattan College,130125.5466,94800,72427.4726,67900,71400
College Of New Jersey ,140408.1488,122300,70038.18328,60100,61700
College Of New Rochelle ,53121.07918,40400,35398.47237,30800,34900
College Of Our Lady Of The Elms,91490.27789,87500,51919.6311,45400,47200
College Of Saint Benedict,150242.8078,106800,51491.36482,47300,50300
College Of Saint Elizabeth,97344.61196,75200,44583.3696,44700,48900
College Of Saint Rose,100367.322,91000,46203.08564,46200,48300
College Of Saint Scholastica,102990.1575,87700,58258.16524,54800,57400
College Of Southern Idaho,65010.28156,56900,30732.00122,26900,31200
College Of Southern Maryland,96132.38631,90600,41853.51715,38800,43900
College Of Southern Nevada,83522.43611,66800,32851.46896,28900,34300
College Of Staten Island/CUNY,85456.88344,73500,47236.16373,41200,48400
College Of The Albemarle,63908.70497,52000,25576.74877,20800,25900
College Of The Canyons,103185.4909,88200,40109.35613,32500,39800
College Of The Desert,59464.92465,44900,31873.89079,28400,33300
College Of The Holy Cross,294562.2806,157000,96254.76981,71900,75500
College Of The Mainland,75046.44954,68700,37497.9328,30400,36700
College Of The Ouachitas,61094.48576,53000,27678.82353,24100,29400
College Of The Ozarks,58892.23221,49200,34857.99926,32000,33900
College Of The Redwoods,71567.55342,59900,26270.2956,20300,28500
College Of The Sequoias,66608.21153,51500,32212.81047,27500,33600
College Of The Siskiyous,85761.7108,57500,33321.62227,27900,33200
College Of Westchester ,73597.45284,55800,39347.86247,34900,40600
College Of William & Mary,208657.8585,147100,75046.77252,59800,65000
College Of Wooster ,169626.4079,108100,53231.68782,47200,49200
CollegeAmerica Denver,54268.69577,43500,24685.63997,20100,26300
Collin County Community College,117859.7821,95000,39549.45044,34100,39000
Colorado Christian University,156218.5995,98600,37368.02208,30700,40600
Colorado College,344930.6795,154600,54567.30793,43600,48800
Colorado Mesa University,91094.41488,75800,39558.62048,35000,39000
Colorado Mountain College,125855.6803,79400,30663.07211,24500,31700
Colorado Northwestern Community College,78010.27734,72900,42997.68193,32700,39500
Colorado School Of Mines,138417.319,111500,94103.60995,81500,83800
Colorado State University,167637.0132,115400,54350.63888,45800,49500
Colorado State University-Pueblo,85255.33869,72300,41554.95219,38100,40000
Colorado Technical University,63589.87495,52300,31202.54017,26100,31000
Columbia - Greene Community College - SUNY Office Of Cmnty Colleg,73355.76446,64600,36721.47921,34000,36700
Columbia Basin College,89138.51092,77500,37636.78852,32000,38700
"Columbia College of Chicago, IL",133648.8095,85100,33190.3215,28500,33600
"Columbia College of Columbia, MO",79430.47413,61700,34363.27096,31100,34200
"Columbia College of Columbia, SC",87105.71111,62600,35072.84438,33800,37700
Columbia Gorge Community College,64630.11989,59100,31043.4775,33000,33000
Columbia International University,75192.91562,71700,23138.32511,18500,29800
